"acronym","name","raw_type","old_type"
"CI","Care International","NGO","INT"
"CHF","CHF International","NGO","INT"
"CHAK","Christian Health Association of Kenya","NGO","LOC"
"CISP","CISP International Committee for the Development of Peoples","NGO","INT"
"CMED-A","Community Mobilisation for Economic Development and Advancement ","NGO","LOC"
"DOW","Doctors of the World","NGO","INT"
"EH","Engender Health","NGO","INT"
"FHI","Family Health International","NGO","INT"
"FHOK","Family Health Options Kenya","NGO","INT"
"FSI","Family Support institute","NGO","LOC"
"FFH","Food for the Hungry International","NGO","INT"
"FHEA","Fred Hollows Eastern Africa","NGO","INT"
"GOAL","Goal Kenya","NGO","INT"
"GLUK","Great Lakes University Kenya","NGO","LOC"
"HI","Handicap International","NGO","INT"
"HPI","Health Policy Initiative","NGO","INT"
"ICLA","I Choose Life-Africa","NGO","LOC"
"IMC","International Medical Corps","NGO","INT"
"IN","Internews Network","NGO","INT"
"IH","Intra Health International","NGO","INT"
"JHPIEGO","JHPIEGO Kenya","NGO","INT"
"KCBHPA","KCBHPA","NGO",
"KEC-CS","KEC - Catholic Secritariat","NGO","LOC"
"KANCO","Kenya AIDS NGOs Consortium","NGO","LOC"
"KAWE","Kenya Association for the Welfare of People with Epilepsy","NGO","LOC"
"KAMMP","Kenya Association of Muslim Medical Professionals","NGO","LOC"
"KAPC","Kenya Association of Professional Counselors","NGO","LOC"
"KCBHFA","Kenya Community-Based Health Financing Association","NGO","LOC"
"KECOFATUMA","Kenya Consortium to Fight AIDS, TB & Malaria","NGO","LOC"
"KENAAM","Kenya NGO Alliance Against Malaria","NGO","LOC"
"KRCS","Kenya Red Cross Society","NGO","LOC"
"KSB","Kenya Society for the Blind","NGO","LOC"
"KICOSHEP","Kibera Community Self Help Programme","NGO","LOC"
"LICASU","Life Care Support","NGO","LOC"
"LVCT","Liverpool VCT Care and treatment","NGO","LOC"
"MALT","Malteser International","NGO","INT"
"MDA","Mama Dada Africa","NGO","LOC"
"MAP","MAP International","NGO","INT"
"MSI","Marie Stopes","NGO","INT"
"MATF","Matibabu Foundation","NGO","LOC"
"MSF-BE","Médecins Sans Frontières - Belgium","NGO","INT"
"MERLIN","MERLIN Medical Emergency Relief International UK","NGO","INT"
"MI","Mildmay International","NGO","INT"
"PACT","Pact","NGO","INT"
"PFI","Pathfinder International","NGO","INT"
"PPFA","Planned Parenthood Federation Africa","NGO","INT"
"PPFAI","Planned Parenthood Federation of Amercia Inc","NGO","INT"
"PSA","Population Services International","NGO","INT"
"PATH","Program for Appropriate Technology in Health","NGO","INT"
"PI","Provide International","NGO","INT"
"RI","Ripples International","NGO","INT"
"RAPADO","Rural Aids Prevention & Development Organization","NGO","LOC"
"SWAP","Safe Water and AIDS Project","NGO","LOC"
"SP","Samaritans Purse","NGO","INT"
"SCF-CA","Save the Children Canada","NGO","INT"
"SCF-UK","Save the Children Fund UK","NGO","INT"
"SSI","Sight Savers International","NGO","INT"
"SANA","Sustainable Aid in Africa International ","NGO","LOC"
"WASDA","Water and Sewer Distributors of America","NGO","INT"
"WEMIHS","Wem Integrated Health Services","NGO","INT"
"WIFIP","Women in Fishing Industry Project","NGO","LOC"
"WF","World Friends","NGO","INT"
"WN","World Neighbors","NGO","INT"
"WR","World Relief","NGO","INT"
"WVI","World Vision","NGO","INT"
"ABT","Abt Associates","NGO","ICF"
"AED","Academy for Educational Development","NGO","ICF"
"FUTURES","Futures Group","NGO","ICF"
"JSI","John Snow International","NGO","ICF"
"LATH","Liverpool Associates in Tropical Health ","NGO","ICF"
"MSH","Management Sciences for Health","NGO","ICF"
"ORCMACRO","ORC Macro","NGO","ICF"
"RTI","RTI International","NGO","ICF"
"AVSI","Association of Volunteers in International Service","NGO","INT"
"CARTER","Carter Centre","NGO","INT"
"CRS","Catholic Relief Services","NGO","INT"
"CHANGE","Center for Health and Gender Equity","NGO","INT"
"CHMP","Centrale Humanitaire Medico Pharmaceutique","NGO","INT"
"CCF","ChildFund International (Christian Chidrens Fund)","NGO","INT"
"CA","Christian Aid","NGO","INT"
"CRWRC","Christian Reformed World Relief Committee","NGO","INT"
"CBM","Christoffel Blindenmission","NGO","INT"
"CLUSA","CLUSA International","NGO","INT"
"CCM-ONLUS","Comitato Collaborazione Medica","NGO","INT"
"CAI","Community Aid International","NGO","INT"
"CI","Compassion International","NGO","INT"
"CU","Concern Universal","NGO","INT"
"CW","Concern Worldwide Kenya","NGO","INT"
"DRC","Danish Refugee Council","NGO","INT"
"DNDI","Drugs for Neglected Diseases Initiative ","NGO","INT"
"EGPAF","Elizabeth Glaser Pediatric AIDS Foundation","NGO","INT"
"FCI","Family Care International","NGO","INT"
"DSW","German Foundation for World Population","NGO","INT"
"HAI","Health Action International","NGO","INT"
"HOPE","HOPE Worldwide","NGO","INT"
"IAVI","International AIDS Vaccine Initiative","NGO","INT"
"IFRC","International Federation of Red Cross","NGO","INT"
"IRC","International Rescue Committee","NGO","INT"
"IPAS","IPAS Africa Alliance","NGO","INT"
"IR ","Islamic Relief","NGO","INT"
"JH-CCP","Johns Hopkins Centre for Communications Programs","NGO","INT"
"LWF","Lutheran World Federation","NGO","INT"
"MSF-FR","Médecins Sans Frontières - France","NGO","INT"
"MEDS","Mission for Essential Drugs & Supplies","NGO","INT"
"NRC","Norwegian Refugee Council","NGO","INT"
"OXFAM","OXFAM","NGO","INT"
"PLAN","Plan International Kenya","NGO","INT"
"PC","Population Council","NGO","INT"
"PATH","Program for Appropriate Technology in Health","NGO","INT"
"SI","Social Impact","NGO","INT"
"WCI","World Concern International","NGO","INT"
"CAFS","Centre for African Family Studies","NGO","REG"
"NETWAS","Network for Water & Sanitation ","NGO","REG"
"NARESA","Network of AIDS Researchers of East & S Africa","NGO","REG"
"RATN","Regional AIDS Training Network","NGO","REG"
"AFYA","Afri Afya","NGO","LOC"
"APHRC","African Population and Health Research Centre","NGO","LOC"
"APDK","Association for the Physically Disabled in Kenya","NGO","LOC"
"CHAK","Christian Health Association of Kenya","NGO","LOC"
"CMED-A","Community Mobilisation for Economic Dev and Advancement ","NGO","LOC"
"FSI","Family Support institute","NGO","LOC"
"GLUK","Great Lakes University Kenya","NGO","LOC"
"ICLA","I Choose Life-Africa","NGO","LOC"
"KEC-CS","KEC - Catholic Secritariat","NGO","LOC"
"KANCO","Kenya AIDS NGOs Consortium","NGO","LOC"
"KAWE","Kenya Association for the Welfare of People with Epilepsy","NGO","LOC"
"KAMMP","Kenya Association of Muslim Medical Professionals","NGO","LOC"
"KAPC","Kenya Association of Professional Counselors","NGO","LOC"
"KCBHFA","Kenya Community-Based Health Financing Association","NGO","LOC"
"KECOFATUMA","Kenya Consortium to Fight AIDS, TB & Malaria","NGO","LOC"
"KENAAM","Kenya NGO Alliance Against Malaria","NGO","LOC"
"KRCS","Kenya Red Cross Society","NGO","LOC"
"KSB","Kenya Society for the Blind","NGO","LOC"
"KICOSHEP","Kibera Community Self Help Programme","NGO","LOC"
"LICASU","Life Care Support","NGO","LOC"
"LVCT","Liverpool VCT Care and treatment","NGO","LOC"
"MDA","Mama Dada Africa","NGO","LOC"
"MATF","Matibabu Foundation","NGO","LOC"
"RAPADO","Rural Aids Prevention & Development Organization","NGO","LOC"
"SWAP","Safe Water and AIDS Project","NGO","LOC"
"SANA","Sustainable Aid in Africa International ","NGO","LOC"
"WIFIP","Women in Fishing Industry Project","NGO","LOC"
"TAPWAK","Association of People with AIDS in Kenya","NGO","LOC"
"CCD","Centre for Child Development","NGO","LOC"
"CPAK","Cerebral Palsy Association of Kenya","NGO","LOC"
"COVAW","Coalition on Violence Against Women","NGO","LOC"
"FGE","Foundation for Gender and Equality","NGO","LOC"
"IDCCS","Inter-Diocesan Christian Community Services ","NGO","LOC"
"KADA","Kenya AIDS & Drugs Alliance","NGO","LOC"
"KAWAIDS","Kenya Alliance for Women and AIDS","NGO","LOC"
"KAPAH","Kenya Assoc for the Promotion of Adolescent Health","NGO","LOC"
"KENWA","Kenya Network of Women with AIDS","NGO","LOC"
"KSDC","Kenya Society for Deaf Children","NGO","LOC"
"KSMH","Kenya Society for Mentally Handicapped","NGO","LOC"
"KEWASNET","Kenya Water and Sanitation Network ","NGO","LOC"
"KWAHO","Kenya Water for Health Organisation","NGO","LOC"
"NOPE","National Organisation of Peer Educators","NGO","LOC"
"SWAK","Society for Women & AIDS in Kenya","NGO","LOC"
"WOFAK","Women Fighting AIDS in Kenya","NGO","LOC"
