(in /Users/glennroberts/Current_Projects/code/resource_tracking)
Creating report for development
csv_string is org.name,org.type,a.name,a.description,Injecting drug users,Men who have sex with men,Migrants/mobile populations,Prison inmates,Sex Workers,Women,Young people,a.text_for_beneficiaries,a.text_for_targets,a.target,a.budget,a.spend,a.start,a.end,a.provider,Bugesera,Burera,Gakenke,Gasabo,Gatsibo,Gicumbi,Gisagara,Huye,Kamonyi,Karongi,Kayonza,Kicukiro,Kirehe,Muhanga,Musanze,Ngoma,Ngororero,Nyabihu,Nyagatare,Nyamagabe,Nyamasheke,Nyanza,Nyarugenge,Nyaruguru,Rubavu,Ruhango,Rulindo,Rusizi,Rutsiro,Rwamagana,project
internal_for_dev2,"","","", , , , , , , ,"","","",16331.49,8781.73,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",29448.52,24436.03,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",33037.57,23817.46,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",16875.86,13339.09,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","",10000000.0,8000000.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Imbuto Foundation/PACFA,Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,ARH Initiative
Imbuto Foundation/PACFA,Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,mothers2mothers
Imbuto Foundation/PACFA,Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Imbuto Foundation/PACFA,Ngo,"","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
JSI,Ngo,Training & Capacity Building,Training and capacity building activities targeting health care works to improve safe injection practices and waste disposal processes., , , , , , , ,Healthcare workers and waste handlers,"","",14740.0,138960.0,2009-07-01,2010-09-29,JSI, ,yes, ,yes,yes, , , , , , , ,yes,yes, , , , , , , ,yes,yes,yes, , , , , , ,Making Medical Injections Safer (MMIS)
JSI,Ngo,Commodity Supply Management,Local procurement of safe injection and waste management supplies, , , , , , , ,"","","",49255.0,109666.0,2009-07-01,2010-09-29,JSI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes, ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Making Medical Injections Safer (MMIS)
JSI,Ngo,Behaviour Change Communication,Design   production and dissemination of BCC materials aimed at reducing the medical transmission of HIV through safe injections and improved waste management practices., , , , , , , ,"","","",1157.0,82346.0,2009-07-01,2010-09-29,JSI,yes, ,yes,yes,yes,yes, ,yes,yes,yes, , , ,yes,yes, , , , ,yes,yes,yes,yes, ,yes, , ,yes, ,yes,Making Medical Injections Safer (MMIS)
JSI,Ngo,Waste management,Rehabilitating health care waste disposal sites and installation of waste pits, , , , , , , ,"","","",23780.0,198386.0,2009-07-01,2010-09-29,JSI, , , ,yes, , ,yes,yes,yes,yes,yes,yes, , ,yes, , ,yes,yes, ,yes,yes,yes, , ,yes, , , ,yes,Making Medical Injections Safer (MMIS)
JSI,Ngo,Monitoring & Evaluation,Joint supervision visits of project implementation sites, , , , , , , ,"","","",11460.0,21294.0,2009-07-01,2010-09-29,JSI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes, ,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Making Medical Injections Safer (MMIS)
JSI,Ngo,Training & Capacity Building,Training and capacity building activities targeting health care works to improve safe injection practices and waste disposal processes., , , , , , , ,"","","",46537.0,"",2010-09-30,2011-06-30,JSI, ,yes, ,yes,yes, , , , , , , ,yes,yes, , , , , , , ,yes,yes,yes, , , , , , ,Rwanda Injection Safety/Waste Management Project
JSI,Ngo,Commodity Supply Management,Local procurement of safe injection and waste management supplies, , , , , , , ,"","","",26881.0,"",2010-09-30,2011-06-30,JSI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rwanda Injection Safety/Waste Management Project
JSI,Ngo,Behaviour Change Communication,Design   production and dissemination of BCC materials aimed at reducing the medical transmission of HIV through safe injections and improved waste management practices., , , , , , , ,"","","",38286.0,"",2010-09-30,2011-06-30,JSI,yes, ,yes,yes,yes,yes, ,yes,yes,yes, , , ,yes,yes, , , , ,yes,yes,yes,yes, ,yes, , ,yes, ,yes,Rwanda Injection Safety/Waste Management Project
JSI,Ngo,Waste management,Rehabilitating health care waste disposal sites and installation of waste pits, , , , , , , ,"","","",3526.0,"",2010-09-30,2011-06-30,JSI, , , ,yes, , ,yes,yes,yes,yes,yes,yes, , ,yes, , ,yes,yes, ,yes,yes,yes, , ,yes, ,yes, ,yes,Rwanda Injection Safety/Waste Management Project
JSI,Ngo,Monitoring & Evaluation,Joint supervision visits of project implementation sites, , , , , , , ,"","","",75287.0,"",2010-09-30,2011-06-30,JSI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Rwanda Injection Safety/Waste Management Project
JSI,Ngo,Monitoring & Evaluation,Joint supervision visits of project implementation sites, , , , , , , ,"","","",75287.0,"",2010-09-30,2011-06-30,JSI,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,USAID/ HigaUbeho Program
JSI,Ngo,"","", , , , , , , ,"","","",192054.0,508963.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Making Medical Injections Safer (MMIS)
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",13127000.0,12141720.0,"","",District of Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",12000000.0,11998816.0,"","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",9000000.0,1500000.0,"","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",9500000.0,2500000.0,"","",District of Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",9000000.0,3000000.0,"","",District of Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2000000.0,2000000.0,"","",Munini HD District Hospital | Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1000000.0,1000000.0,"","",Kabutare HD District Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1100000.0,937059.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2000000.0,1400000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1000000.0,1250000.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1000000.0,1000000.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1500000.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1500000.0,3500000.0,"","",District of Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1500000.0,2950000.0,"","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",3500000.0,"","","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1500000.0,3416000.0,"","",District of Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",1500000.0,"","","",District of Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1500000.0,"","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2000000.0,"","","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",6000000.0,7988539.0,"","",Munini HD District Hospital | Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",8000000.0,6510360.0,"","",Kabutare HD District Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",6000000.0,8608571.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",5500000.0,3500000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",7000000.0,7510360.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",8000000.0,3260500.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",4000000.0,40000000.0,"","",BUTARE CHU National Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",181450254.0,248992900.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",934800.0,"","","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
internal_for_dev2,"","","", , , , , , , ,"","","","","","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",421000.0,"","","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",800000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",13000000.0,13000000.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",4500000.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1230000.0,"","",Munini HD District Hospital | Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1499750.0,"","",Munini HD District Hospital | Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",4800000.0,"","","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",458000.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Kabuye Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Jali Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","","","","","",Kacyiru Health Center | Gasabo, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
JSI,Ngo,"","", , , , , , , ,"","","",693270.0,"","","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,Rwanda Injection Safety/Waste Management Project
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1000000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",2516000.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2300000.0,"","","",District of Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",3000000.0,"","","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",368400.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",3000000.0,"","","",District of Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1927000.0,"","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",500000.0,"","",Kabutare HD District Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2187500.0,"","","",District of Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",2000000.0,"","","",District of Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Abt Associates,Ngo,"","", , , , , , , ,"","","",750000.0,450000.0,"","", , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1873000.0,"","",BUTARE CHU National Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",900000.0,"","",Ruhengeri HD District Hospital | Musanze, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",751720.0,"","",District of Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",900000.0,"","",Munini HD District Hospital | Nyaruguru, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",400000.0,600000.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",753334.0,1506666.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",300000.0,"","","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",900000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1230000.0,"","",Kibilizi HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",1073600.0,"","",Kabutare HD District Hospital | Huye, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","",500000.0,500000.0,"","",Byumba HD District Hospital | Gicumbi, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
German cooperation (GTZ   KfW   DED   CIM   InWent),Ngo,"","", , , , , , , ,"","","","",450000.0,"","",Gakoma HD District Hospital | Gisagara, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
EGPAF,Ngo,TA to Governements,EGPAF provides national  technical assistance to MOH   TRAC Plus   and USG partners implementing the IYCF program and training for USG partner districts in 22 districts.  , , , , , , , ,"","","","","",2008-01-01,2013-01-01,EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , , , , , , , , ,yes,HIV Clinical Services
EGPAF,Ngo,Ibyringiro,Ibyringiro, , , , , , , ,"","","","","","","",EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , ,yes, , , , , , ,yes,HIV Clinical Services
EGPAF,Ngo,Technical Assistance to support HIV Clinical Svcs,Technical Assistance to support HIV clinical services   MCH   and Family Planning. , , , , , , , ,"","","",1256356.0,875223.0,2008-01-01,2012-01-01,EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , ,yes, , , , , , ,yes,HIV Clinical Services
EGPAF,Ngo,Training,Training in the districts. , , , , , , , ,"","","",417420.0,387619.0,"","",EGPAF,yes, , , ,yes, , , , , , ,yes,yes, , ,yes, , , , , , ,yes, , , , , , ,yes,HIV Clinical Services
