1,2,3,4,5,6,7,8,Simple Display,Description,Type,HSSP2 Strategic Objective,New HSSP2 Strat Obj (if changed),HSSP2 Strategic Program,New HSSP2 Strat Prog (if changed),Official (long) name,ID,,,,,,,,,,,,,,,,,,,,
,,Fight Against HIV/AIDS and Sexually Communicable Diseases,,,,,,Fight Against HIV/AIDS and Sexually Communicable Diseases,,Mtef,c. Treatment of diseases,,Quality Assurance,,02  FIGHT AGAINST HIV/AIDS AND SEXUALLY COMMUNICABLE,1278,,,,,,,,,,,,,,,,,,,,
,,,Improving opportunities for People Affected by HIV/AIDS,,,,,Improving opportunities for People Affected by HIV/AIDS,Includes social programs to improve economic@ educational@ and social opportunities for those affected by HIV/AIDS,Nsp,c. Treatment of diseases,,Quality Assurance,,3. Persons infected and/or affected by HIV/AIDS have the same opportunities as the the general population  ,1279,,,,,,,,,,,,,,,,,,,,
,,,,Improving economic opportunities for People Affected by HIV/AIDS,,,,Improving economic opportunities for People Affected by HIV/AIDS,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1 People infected/affect by HIV (including child-headed households) have improved economic opportunities and social protection,1280,,,,,,,,,,,,,,,,,,,,
,,,,,Improving skills and education for People Affected by HIV/AIDS,,,Improving skills and education for People Affected by HIV/AIDS,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1.1.1 Increased skills and education for infected and affected persons (including child household heads),1281,,,,,,,,,,,,,,,,,,,,
,,,,,,Social Protection through in-kind benefits,,Social Protection through in-kind benefits,Social protection through in-kind benefts refers to food security@ food parcels (not associated with ART nutritional support)@ clothing@ school fee rebates@ books@ transport and food vouchers@ and other in-kind support for HIV-positive people.,Nha,c. Treatment of diseases,,Quality Assurance,,6.02 Social protection through in-kind benefits,1282,,,,,,,,,,,,,,,,,,,,
,,,,,,Social Protection through social service provision,,Social Protection through social service provision,Social protection through provision of social services refers to the development of activities aimed at social mitigation for people living with HIV and their families including funeral expenses@ burial society fees@ day care services@ and transportation for patients.,Nha,c. Treatment of diseases,,Quality Assurance,,6.03 Social protection through provision of social services,1283,,,,,,,,,,,,,,,,,,,,
,,,,,,Income-Generating Activities for People Affected by HIV/AIDS,,Income-Generating Activities for People Affected by HIV/AIDS,HIV-specific income generation relates to projects and efforts to develop public work programmes@ skills development@  livelihood@ and financing. Small grants for business activities for people living with HIV are also included.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.3.1 Income-generating activities 6.4 Income generation,1284,,,,,,,,,,,,,,,,,,,,
,,,,,Employment opportunities for People Affected by HIV/AIDS,,,Employment opportunities for People Affected by HIV/AIDS,HIV-specific projects and efforts to develop sheltered employment opporutunities for People Affected by HIV/AIDS.,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1.1.2 Creation of employment opportunities for infected and affected persons (including child household heads) AD.1.3.1 Income-generating activities 6.4 Income generation,1285,,,,,,,,,,,,,,,,,,,,
,,,,,Improving credit options for People Affected by HIV/AIDS,,,Improving credit options for People Affected by HIV/AIDS,HIV-specific income generation relates to projects and efforts to develop credit and micro-credit options for People Affected by HIV/AIDS.,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1.1.3 People infected and/or affected by HIV (including child household heads) have access to credit (individually or collectively) AD.1.3.1 Income-generating activities 6.4 Income generation,1286,,,,,,,,,,,,,,,,,,,,
,,,,,Food security for People Affected by HIV/AIDS,,,Food security for People Affected by HIV/AIDS,HIV-specifc income generation relates to projects and efforts to develop food security programs for People Afffected by HIV/AIDS.,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1.1.4 Households of persons infected/affected by HIV/AIDS have food security ,1287,,,,,,,,,,,,,,,,,,,,
,,,,,Monetary benefits for PLWHA@ widows@ and families,,,Monetary benefits for PLWHA@ widows@ and families,"Social protection through monetary benefts refers to conditional or unconditional fnancial support@ such as grants and cash transfers (including child social assistance grants@ foster care grants@ disability grants@ 'medical pensions'@ early retirement and disability benefts for people living with HIV@ or family members). Cash transfers and grants aim to reduce poverty by making welfare programs conditional or unconditional upon the receivers' actions.
Cash transfers and grants provide money directly to poor families via a 'social contract' with the benefciaries-for example@ sending children to school regularly or bringing them to health centres. For extremely poor families@ cash provides emergency assistance@ while the conditionalities promote longer-term investments in human capital.",Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.1.2   Monetary benefits to PLWHA@widows@ and families  6.1 Monetary benefits,1288,,,,,,,,,,,,,,,,,,,,
,,,,,Social support for PLWHA@ widows@ and families,,,Social support for PLWHA@ widows@ and families,Social protection through provision of social services refers to the development of activities aimed at social mitigation for people living with HIV and their families including funeral expenses@ burial society fees@ day care services@ and transportation for patients.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.1.5   Social support to PLWHA@ widows@ and families not disaggregated.  6.3 Social services,1289,,,,,,,,,,,,,,,,,,,,
,,,,,Income-Generating Activities for People Affected by HIV/AIDS,,,Income-Generating Activities for People Affected by HIV/AIDS,HIV-specific income generation relates to projects and efforts to develop public work programmes@ skills development@  livelihood@ and financing. Small grants for business activities for people living with HIV are also included.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.3.1 Income-generating activities 6.4 Income generation,1290,,,,,,,,,,,,,,,,,,,,
,,,,,Employment opportunities for People Affected by HIV/AIDS,,,Employment opportunities for People Affected by HIV/AIDS,HIV-specific projects and efforts to develop sheltered employment opporutunities for People Affected by HIV/AIDS.,Nsp,c. Treatment of diseases,,Quality Assurance,,3.1.1.2 Creation of employment opportunities for infected and affected persons (including child household heads) AD.1.3.1 Income-generating activities 6.4 Income generation,1291,,,,,,,,,,,,,,,,,,,,
,,,Reduction of stigma and discrimination of People Affected by HIV/AIDS,,,,,Reduction of stigma and discrimination of People Affected by HIV/AIDS,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.3 Reduction of stigma and discrimination of PLHA and OVC in the community,1292,,,,,,,,,,,,,,,,,,,,
,,,,Legal protection for People Affected by HIV/AIDS,,,,Legal protection for People Affected by HIV/AIDS,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.3.1.1. The rights of people infected and/or affected by HIV are assured in legal framework,1293,,,,,,,,,,,,,,,,,,,,
,,,,,Policy Advocacy for People Affected by HIV/AIDS,,,Policy Advocacy for People Affected by HIV/AIDS,,Nha,c. Treatment of diseases,,Quality Assurance,,AD.2 Policy advocacy 7.1 Advocacy and strategic communication,1294,,,,,,,,,,,,,,,,,,,,
,,,,,Legal Services@ Empowerment and Organization for People Affected by HIV/AIDS,,,Legal Services@ Empowerment and Organization for People Affected by HIV/AIDS,"Advocacy in the feld of HIV includes a full set of services that generate an increased and wider range of support of the key principles and essential actions to promote HIV prevention and reduce stigma and discrimination. It also includes the promotion of the scaling-up of national@ regional HIV programmes by national governments with key partners@ such as bilateral and multilateral donors@ civil society@ and the private sector.
Also included are promotion and support of the development of a strong HIV constituency at the regional and country level@ among civil society@ including: community groups@ policy-makers@ opinion leaders@ leaders of faith-based organizations@ women's groups@ youth leaders@ and people living with HIV to strengthen their capacity to advocate for effective HIV prevention@
care@ and social support. Spending on all advocacy efforts to enhance the national response to HIV. ",Nha,c. Treatment of diseases,,Quality Assurance,,AD.4 Empowerment and organization (incl. Legal services) 7.1 Advocacy and strategic communication,1295,,,,,,,,,,,,,,,,,,,,
,,,,,HIV/AIDS Human Rights Programs,,,HIV/AIDS Human Rights Programs,"Human rights programmes cover all the activities and resources invested for
the protection of human rights@ legislative aspects of a broad number of areas of social life@ such as employment and discrimination@ education@ liberty@ association@ movement@ expression@ privacy@ legal counselling and services@ efforts to overcome discrimination and improve accessibility to social and health services. Advocacy for human rights should be coded as Advocacy.
Programmes focused on the human rights of women and girls should be coded as AIDS-specifc programmes focused on women.",Nha,c. Treatment of diseases,,Quality Assurance,,AD.4 Empowerment and organization (incl. Legal services)  7.02 Human rights programmes,1296,,,,,,,,,,,,,,,,,,,,
,,,,,Women and HIV/AIDS Programs,,,Women and HIV/AIDS Programs,Programmes targeting women and girls@ in addition to those explicitly included in the spending categories described above@ for instance improved reproductive health activities@ assistance@ and counselling addressing abused women and programmes to protect the property and inheritance rights of women and girls.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.4 Empowerment and organization (incl. Legal services) 7.04 AIDS-specific programmes focused on women,1297,,,,,,,,,,,,,,,,,,,,
,,,,,Gender-based Violence Reduction Programs,,,Gender-based Violence Reduction Programs,"Programmes to reduce violence against women. Also known as violence against women (VAW)@ this is a major public health and human rights problem throughout the world. VAW has implications for HIV transmission and is often ignored. Expenditures for the response to sexual violence include the design
of social and health policies@ all the services that provide comprehensive@ sensitive@ and quality care to victims of sexual violence. The expenditures cover several areas: assistance and counselling addressing abused women@ promotion@ and policy measures that will support the provision of comprehensive and ethical services to people who have experienced sexual violence, activi-
ties of police departments@ health services@ prosecutors@ social welfare agencies@ and nongovernmental service providers@ such as rape crisis centres. Post-exposure prophylaxis after exposure to risk because of violence or rape should be coded under Post-exposure prophylaxis after high-risk exposure.",Nha,c. Treatment of diseases,,Quality Assurance,,AD.4 Empowerment and organization (incl. Legal services) 7.05 Programmes to reduce Gender Based Violence,1298,,,,,,,,,,,,,,,,,,,,
,,,,Access to legal services for People Affected by HIV/AIDS,,,,Access to legal services for People Affected by HIV/AIDS,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.3.1.2 PLHA and OVC have access to legal aid services ,1299,,,,,,,,,,,,,,,,,,,,
,,,,,Access to legal services for People Affected by HIV/AIDS,,,Access to legal services for People Affected by HIV/AIDS,,Nha,c. Treatment of diseases,,Quality Assurance,,AD.4 Empowerment and organization (incl. Legal services) 7.1 Advocacy and strategic communication,1300,,,,,,,,,,,,,,,,,,,,
,,,,Increasing acceptance of People Affected by HIV/AIDS in communities,,,,Increasing acceptance of People Affected by HIV/AIDS in communities,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.3.1.3 Increased acceptance of persons infected/ affected in the community,1301,,,,,,,,,,,,,,,,,,,,
,,,,,Social Stigma Reduction,,,Social Stigma Reduction,,Nha,c. Treatment of diseases,,Quality Assurance,,AD.3 Non-health IEC- social stigma reduction,1302,,,,,,,,,,,,,,,,,,,,
,,,,Increasing self-acceptance of People Affected by HIV/AIDS (psychosocial support),,,,Increasing self-acceptance of People Affected by HIV/AIDS (psychosocial support),,Nsp,c. Treatment of diseases,,Quality Assurance,,3.3.1.4 Increased self-acceptance of people infected and/or affected by HIV,1303,,,,,,,,,,,,,,,,,,,,
,,,,,Psychosocial Support,,,Psychosocial Support,"Psychosocial support includes all non-medical services provided to out patients to ensure the
ongoing psychological and social problems of HIV-infected individuals@ and their partners@ families
and caregivers.
Includes: For NHA HIV/AIDS classifications@ the following activities are included:
- Mental health and supportive services available at facility level or community level
- Follow-up counseling services to ensure psychosocial support and adherence to ARV
 treatment
- In high HIV prevalence areas@ activities provided to nurses@ physicians@ and other health care
 related personnel to cope with emotional stress due to provision of care to a large number of
HIV/AIDS cases (WHO).
Excludes:
- Counseling for VCT helps to make a decision on whether or not to be
tested and provides support when receiving the test result (WHO). Therefore@ it is not considered psychosocial support.",Nha,c. Treatment of diseases,,Quality Assurance,,HC1.3.8 OP Psychosocial support 2.01.07 Psychological treatment and support services,1304,,,,,,,,,,,,,,,,,,,,
,,,Social and Economic Protection for OVCs related to HIV,,,,,Social and Economic Protection for OVCs related to HIV,,Nha,c. Treatment of diseases,,Quality Assurance,,3.2 Social and economic protection are ensured for orphans and vulnerable children,1305,,,,,,,,,,,,,,,,,,,,
,,,,Social and Economic Protection for OVCs related to HIV,,,,Social and Economic Protection for OVCs related to HIV,,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.1.5   Social support to PLWHA@ widows@ and families not disaggregated.  6. Social Protection and Social Services excluding OVC,1306,,,,,,,,,,,,,,,,,,,,
,,,,Providing OVCs with basic services,,,,Providing OVCs with basic services,,Nsp,c. Treatment of diseases,,Quality Assurance,,3.2.1.1. Increased percentage of OVC have minimum package of services,1307,,,,,,,,,,,,,,,,,,,,
,,,,,School Fees/Education for OVCs,,,School Fees/Education for OVCs,Primary school and secondary school (school fees@ uniforms@ books and supplies@ special fees/assessments).,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.3 School fees to OVC 3.1 Education to OVCS,1308,,,,,,,,,,,,,,,,,,,,
,,,,,Basic Health Care for OVCs,,,Basic Health Care for OVCs,"OVC Basic health-care refers to basic child care services such as immunizations@ routine health care@ nutritional supplements (e.g. vitamins@ proteins etc)@ sexual and reproductive health services for older children). The expenditures to be included under this code refer to those for any children who in principle should be provided for by the parents, in their absence@ social protection programmes pay for their access to basic services. The health services here are not HIV-specifc. ART for children should be coded under the ART categories",Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.2 Basic health care,1309,,,,,,,,,,,,,,,,,,,,
,,,,,Family / Home Support for OVCs,,,Family / Home Support for OVCs,"OVC Family/home support refers to in-kind support such as bednets@ clothes
and shoes@ blankets and bedding@ food (not an ART-related nutritional support)@ and other support. This category excludes all services as part of institutional care@ coded under ""Institutional Care for OVCs""",Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.3 Family/home support,1310,,,,,,,,,,,,,,,,,,,,
,,,,,Community Support for OVCs,,,Community Support for OVCs,OVC Community support refers to identifcation of OVC in the community@ outreach for OVC@ training and supporting full-time community workers@ child care.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.4 Community support,1311,,,,,,,,,,,,,,,,,,,,
,,,,,Social Services and Administrative costs for OVCs,,,Social Services and Administrative costs for OVCs,OVC Social services and administrative costs e.g. birth certifcates and other administrative and institutional arrangements necessary for implementing OVC care. Child welfare@ a term used to refer to a broad range of social programmes that contribute to the well-being of children should be coded under this category.,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.5 Administrative costs,1312,,,,,,,,,,,,,,,,,,,,
,,,,,Institutional Care for OVCs,,,Institutional Care for OVCs,"OVC Institutional care  refers to integrated care provided in an institutional setting@ including food (not an ART-related nutritional support)@ health care@ education@ clothes@ shoes@ bedding@ psychosocial support and economic self-suffciency@ and all other services addressing the needs of orphaned children. These can be categorized as support services@ supplementary programmes@ or substitute care. Communal foster care is an integrated service provided by children's homes@ orphanages@ mission and boarding schools@ workhouses@ borstals@ monasteries@ and convents. This category excludes all services as part of support to families with OVC@ coded under ""Family/home support""",Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.5 Institutional Care,1313,,,,,,,,,,,,,,,,,,,,
,,,,,Other Support for OVCs,,,Other Support for OVCs,,Nha,c. Treatment of diseases,,Quality Assurance,,AD.1.2.5 Social support to OVCs not disaggregated 3.9 Others / Not-elsewhere classified,1314,,,,,,,,,,,,,,,,,,,,
,,,Treatment and Care for PLWHA,,,,,Treatment and Care for PLWHA,,Nsp,c. Treatment of diseases,,Quality Assurance,,2. Morbidity and mortality among people living with HIV reduced ,1315,,,,,,,,,,,,,,,,,,,,
,,,,OI Prophylaxis and other Coinfection Treatment,,,,OI Prophylaxis and other Coinfection Treatment,"OI treatment and monitoring includes all specialized medical and diagnostic services provided to outpatients to (1) treat an episode of OI or (2) deliver OI prophylaxis drugs. OIs are defined as illnesses caused by organisms@ that usually do not cause disease in persons with healthy immune systems. Persons living with advanced HIV infection suffer OIs of the lungs@ brain@ eyes@ and other organs.
Includes: OIs common in persons diagnosed with AIDS include Pneumocystis carinii pneumonia, Kaposi's sarcoma, cryptosporidiosis, histoplasmosis, other parasitic@ viral and fungal
infections, and some types of cancers.
Excludes: Other HIV-related illnesses
",Nsp,c. Treatment of diseases,,Quality Assurance,,2.1. People living with HIV systematically receive OI prophylaxis@ treatment and other coinfection treatment,1316,,,,,,,,,,,,,,,,,,,,
,,,,,In-patient OI care,,,In-patient OI care,Inpatient care is defined as requiring an overnight stay in a facility,Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.1.2   IP OI Treatment  2.02.01 Inpatient treatment of opportunistic infections,1317,,,,,,,,,,,,,,,,,,,,
,,,,,Out-patient OI care,,,Out-patient OI care,Outpatient care is defined as not requiring an overnight stay in a facility,Nha,c. Treatment of diseases,,Quality Assurance,,HC. 1.3.6 OP opportunistic infection treatment and monitoring 2.01.02 Opportunistic infection outpatient prophylaxis and treatment,1318,,,,,,,,,,,,,,,,,,,,
,,,,Anti-Retroviral Therapy,,,,Anti-Retroviral Therapy,,Nsp,c. Treatment of diseases,,Quality Assurance,,2.2 People living with HIV eligible for ART receive it,1319,,,,,,,,,,,,,,,,,,,,
,,,,,Anti-Retroviral Therapy,,,Anti-Retroviral Therapy,"Antiretroviral (ARV) treatment includes all specialized medical and diagnostics services
provided to outpatients to properly manage and monitor treatment of drugs that aim at suppressing
HIV replication and improve HIV-related symptoms (UNAIDS).
Includes:
- ARV drugs delivered for treatment purposes@ such as highly antiretroviral therapy (HAART)
 that requires the simultaneous use of three or four ARV drugs@ or other regimen of ARVs in
use in the country.
- Laboratory tests necessary for treatment monitoring
Excludes:
- The use of ARV drugs to prevent HIV transmission such as prevention of mother-to-child
 transmission (PMTCT) or post exposure prophylaxis (PEP)
- HIV counseling and testing@ follow-up counseling services to ensure psychosocial support
 and adherence to treatment
- Management of OIs and other HIV-related illnesses
",Nha,c. Treatment of diseases,,Quality Assurance,,HC .1.3.7 OP ARV treatment /HC.6.3.1.8 ART programmes 2.01.03 Antiretroviral therapy,1320,,,,,,,,,,,,,,,,,,,,
,,,,,Identification of ART patients through VCT,,,Identification of ART patients through VCT,,Nsp,c. Treatment of diseases,,Quality Assurance,,2.2.2.1 HIV+ Rwandans are identified in order to initiate treatment,1321,,,,,,,,,,,,,,,,,,,,
,,,,,,Voluntary Counseling and Testing,,Voluntary Counseling and Testing,"VCT covers the provision of health services by which an individual undergoes counseling to
enable him/her to make an informed choice about being tested for HIV (UNAIDS). Various models
of VCT services are freestanding@ integrated into other services@ and outreach.
Includes: The following activities are included:
- Paramedical services and laboratory tests needed to analyze for the presence of antibodies or
 antigens produced in response to HIV (WHO)
- The provision of HIV/AIDS-related information@ pretest-counseling@ post-test counseling@
 and referral to treatment services
- For NHA HIV/AIDS function classifications@ specific attention should be given not to
 double-count VCT when integrated into other services.
",Nha,c. Treatment of diseases,,Quality Assurance,,HC.6.3.1.1   VCT   1.3 Voluntary counseling and testing,1322,,,,,,,,,,,,,,,,,,,,
,,,,,,Provider-Initiated Counseling and Testing,,Provider-Initiated Counseling and Testing,"Provider-initiated testing and counselling (PITC) refers to the expenditures related to the delivery of HIV testing for diagnostic purposes. Under certain circumstances@ when an individual is seeking medical care@ HIV testing may be offered. This may
be part of the diagnosis-the patient presents symptoms that may be attributable to HIV or has an illness associated with HIV@ such as tuberculosis-or this may be a routine offer to an asymptomatic person. For example@ HIV testing may be offered as part of the clinical evaluation of patients with STIs.
The cost of testing includes an initial test@ followed by a confrmatory test if reactive. The cost of PITC includes the entire provision process: physician@ laboratory@ and post-test counselling. PITC excludes the testing under PMTCT. Voluntary counselling and testing is a preventive intervention@ and must be coded under Voluntary counselling and testing (VCT).",Nha,c. Treatment of diseases,,Quality Assurance,,HC.1.3.11 VCT as part of OP care 2.01.01 Provider- initiated testing and counselling,1323,,,,,,,,,,,,,,,,,,,,
,,,,,Exposed infant Follow-up,,,Exposed infant Follow-up,,Nsp,c. Treatment of diseases,,Quality Assurance,,2.2.1.2 Improved HIV exposed infant follow up according to national guidelines,1324,,,,,,,,,,,,,,,,,,,,
,,,,,ART Care,,,ART Care,"The specifc therapy includes a comprehensive group of recommended antiretroviral drugs@ including the cost of supply logistics and the entire ART service delivery (including the cost of human resources involved) for either adults or children.
The number of people being treated is based on country-specifc evidence of current coverage. ART includes all modalities of ARV therapy. When an aggressive therapeutic course is received@ which is intended to suppress viral replication and to slow the progress of HIV@ the therapy is labelled highly active antiretroviral therapy (HAART), the usual combination of three or more different drugs such as two nucleoside reverse transcriptase inhibitors (NRTIs) and a protease inhibitor@ two NRTIs and a non-nucleoside reverse transcriptase inhibitor or other combinations characterize this subclass@ which has been shown to reduce the presence of the virus to a point where it becomes undetectable in a patient's blood.",Nsp,c. Treatment of diseases,,Quality Assurance,,2.2.1.3 Coverage of facilities offering ART is increased,1325,,,,,,,,,,,,,,,,,,,,
,,,,,,ART Care,,ART Care,,Nha,c. Treatment of diseases,,Quality Assurance,,HC.6.3.1.8   ART programmes 2.01.03 Antiretroviral therapy,1326,,,,,,,,,,,,,,,,,,,,
,,,,HIV Care and Support,,,,HIV Care and Support,This includes all basic health care and support activities aimed at optimizing quality of life for HIV-positive people throughout the continuum of care by means of symptom diagnosis and relief@ and culturally-appropriate end-of-life care.,Nsp,c. Treatment of diseases,,Quality Assurance,,2.3 People living with HIV receive care and support according to needs,1327,,,,,,,,,,,,,,,,,,,,
,,,,,Outpatient HIV Care and Support,,,Outpatient HIV Care and Support,Care and support not requiring an overnight stay in a facility,Nha,c. Treatment of diseases,,Quality Assurance,,HC 1.3.10 OP care that cannot be disaggregated,1328,,,,,,,,,,,,,,,,,,,,
,,,,,,Nutritional support associated with ARV therapy,,Nutritional support associated with ARV therapy,"Nutrition plays an important role in maintaining the health of people living with HIV. Adequate nutrition is essential to maintain a person's immune system@ to sustain healthy levels of physical activity@ and for quality of life.  Adequate nutrition is also necessary for optimal benefts from antiretroviral therapy.  Nutrition should become an integral part of countries' response to HIV.  The consumption of nutrients and all the logistics involved in the delivery process of nutritional
support should be accounted under this category.",Nha,c. Treatment of diseases,,Quality Assurance,,2.01.04 Nutritional support associated to ARV therapy,1329,,,,,,,,,,,,,,,,,,,,
,,,,,,Dental programmes for people living with HIV,,Dental programmes for people living with HIV,Dental programmes for people living with HIV refers to odontological and related services performed on people living with HIV,Nha,c. Treatment of diseases,,Quality Assurance,,2.01.06 Dental programmes for people living with HIV,1330,,,,,,,,,,,,,,,,,,,,
,,,,,,Psychological / Psychosocial treatment and support,,Psychological / Psychosocial treatment and support,"Psychological treatment and support service refers to psychological ambulatory services for people living with HIV including the consultation and antidepressant drugs prescribed in the treatment, e.g. if the National AIDS Programme hires the psychol-
ogist to be available for provision of psychological support and treatment to any person with HIV it should be recorded under this classification This category excludes all other psychological support services recorded under VCT activities",Nha,c. Treatment of diseases,,Quality Assurance,,HC1.3.8 OP Psychosocial support /2.01.07 Psychological treatment and support services,1331,,,,,,,,,,,,,,,,,,,,
,,,,,,Outpatient Pallliative Care,,Outpatient Pallliative Care,"Outpatient palliative care refers to treatment that addresses pain and discomfort associated with HIV. This includes all basic health care and support activities@ whether clinic-based@ home-based or community-based activities for HIV-positive adults and children and their families aimed at optimizing quality of life for HIV-positive people and their families throughout the continuum of care by means of symptom diagnosis and relief@ and culturally-appropriate end-of-life care. Clinic-based@ home-based or community-based care and support activities for HIV-positive children within programmes for orphans and
other vulnerable children affected by HIV should be coded under Orphans and Vulnerable Children and the antiretroviral treatment coded under antiretroviral therapy.",Nha,c. Treatment of diseases,,Quality Assurance,,2.01.08 Outpatient palliative care,1332,,,,,,,,,,,,,,,,,,,,
,,,,,,Home-based care,,Home-based care,Home-based care is external support for individuals chronically ill with AIDS. This may include but is not limited to the home visits of medical or non-medical staff to assess living conditions@ address psychological needs@ accompany ill people with HIV to the hospital. These visits might include provision of in-family home-based psychological support to the family members@ teaching family members basic information on HIV@ frst aid@ nutrition etc.,Nha,c. Treatment of diseases,,Quality Assurance,,2.01.09 Home-based care,1333,,,,,,,,,,,,,,,,,,,,
